,Category,M+,M-,M-D,MD,MH,MN,TimeFunction,QtyGrid,PriceGrid,QtyPriceFunction,DayGrid,SubsFactor
0,2,0,0,0,0.2,2,2,sigmoid,True,True,nonlinear,30,1.1
1,2,0,0,0,0.2,2,4,sigmoid,True,True,nonlinear,30,1.1
2,2,0,0,0,0.2,2,6,sigmoid,True,True,nonlinear,30,1.1
3,2,0,0,0,0.5,2,2,sigmoid,True,True,nonlinear,30,1.1
4,2,0,0,0,0.5,2,4,sigmoid,True,True,nonlinear,30,1.1
5,2,0,0,0,0.5,2,6,sigmoid,True,True,nonlinear,30,1.1
6,2,0,0,0,0.8,2,2,sigmoid,True,True,nonlinear,30,1.1
7,2,0,0,0,0.8,2,4,sigmoid,True,True,nonlinear,30,1.1
8,2,0,0,0,0.8,2,6,sigmoid,True,True,nonlinear,30,1.1
9,2,0,0,0,1.5,2,2,sigmoid,True,True,nonlinear,30,1.1
10,2,0,0,0,1.5,2,4,sigmoid,True,True,nonlinear,30,1.1
11,2,0,0,0,1.5,2,6,sigmoid,True,True,nonlinear,30,1.1
12,2,0,0,0,0.2,5,2,sigmoid,True,True,nonlinear,30,1.1
13,2,0,0,0,0.2,5,4,sigmoid,True,True,nonlinear,30,1.1
14,2,0,0,0,0.2,5,6,sigmoid,True,True,nonlinear,30,1.1
15,2,0,0,0,0.5,5,2,sigmoid,True,True,nonlinear,30,1.1
16,2,0,0,0,0.5,5,4,sigmoid,True,True,nonlinear,30,1.1
17,2,0,0,0,0.5,5,6,sigmoid,True,True,nonlinear,30,1.1
18,2,0,0,0,0.8,5,2,sigmoid,True,True,nonlinear,30,1.1
19,2,0,0,0,0.8,5,4,sigmoid,True,True,nonlinear,30,1.1
20,2,0,0,0,0.8,5,6,sigmoid,True,True,nonlinear,30,1.1
21,2,0,0,0,1.5,5,2,sigmoid,True,True,nonlinear,30,1.1
22,2,0,0,0,1.5,5,4,sigmoid,True,True,nonlinear,30,1.1
23,2,0,0,0,1.5,5,6,sigmoid,True,True,nonlinear,30,1.1
0,3,0,0,0,0.2,2,2,sigmoid,True,True,nonlinear,30,1.1
1,3,0,0,0,0.2,2,4,sigmoid,True,True,nonlinear,30,1.1
2,3,0,0,0,0.2,2,6,sigmoid,True,True,nonlinear,30,1.1
3,3,0,0,0,0.5,2,2,sigmoid,True,True,nonlinear,30,1.1
4,3,0,0,0,0.5,2,4,sigmoid,True,True,nonlinear,30,1.1
5,3,0,0,0,0.5,2,6,sigmoid,True,True,nonlinear,30,1.1
6,3,0,0,0,0.8,2,2,sigmoid,True,True,nonlinear,30,1.1
7,3,0,0,0,0.8,2,4,sigmoid,True,True,nonlinear,30,1.1
8,3,0,0,0,0.8,2,6,sigmoid,True,True,nonlinear,30,1.1
9,3,0,0,0,1.5,2,2,sigmoid,True,True,nonlinear,30,1.1
10,3,0,0,0,1.5,2,4,sigmoid,True,True,nonlinear,30,1.1
11,3,0,0,0,1.5,2,6,sigmoid,True,True,nonlinear,30,1.1
12,3,0,0,0,0.2,5,2,sigmoid,True,True,nonlinear,30,1.1
13,3,0,0,0,0.2,5,4,sigmoid,True,True,nonlinear,30,1.1
