,Category,M+,M-,M-D,MD,MH,MN,TimeFunction,QtyGrid,PriceGrid,QtyPriceFunction,DayGrid,SubsFactor
0,2,0,0,0,0.2,2,2,sigmoid,True,True,nonlinear,30,2
1,2,0,0,0,0.2,2,4,sigmoid,True,True,nonlinear,30,2
2,2,0,0,0,0.2,2,6,sigmoid,True,True,nonlinear,30,2
3,2,0,0,0,0.5,2,2,sigmoid,True,True,nonlinear,30,2
4,2,0,0,0,0.5,2,4,sigmoid,True,True,nonlinear,30,2
5,2,0,0,0,0.5,2,6,sigmoid,True,True,nonlinear,30,2
6,2,0,0,0,0.8,2,2,sigmoid,True,True,nonlinear,30,2
7,2,0,0,0,0.8,2,4,sigmoid,True,True,nonlinear,30,2
8,2,0,0,0,0.8,2,6,sigmoid,True,True,nonlinear,30,2
9,2,0,0,0,1.5,2,2,sigmoid,True,True,nonlinear,30,2
10,2,0,0,0,1.5,2,4,sigmoid,True,True,nonlinear,30,2
11,2,0,0,0,1.5,2,6,sigmoid,True,True,nonlinear,30,2
12,2,0,0,0,0.2,5,2,sigmoid,True,True,nonlinear,30,2
13,2,0,0,0,0.2,5,4,sigmoid,True,True,nonlinear,30,2
14,2,0,0,0,0.2,5,6,sigmoid,True,True,nonlinear,30,2
15,2,0,0,0,0.5,5,2,sigmoid,True,True,nonlinear,30,2
16,2,0,0,0,0.5,5,4,sigmoid,True,True,nonlinear,30,2
17,2,0,0,0,0.5,5,6,sigmoid,True,True,nonlinear,30,2
18,2,0,0,0,0.8,5,2,sigmoid,True,True,nonlinear,30,2
19,2,0,0,0,0.8,5,4,sigmoid,True,True,nonlinear,30,2
20,2,0,0,0,0.8,5,6,sigmoid,True,True,nonlinear,30,2
21,2,0,0,0,1.5,5,2,sigmoid,True,True,nonlinear,30,2
22,2,0,0,0,1.5,5,4,sigmoid,True,True,nonlinear,30,2
23,2,0,0,0,1.5,5,6,sigmoid,True,True,nonlinear,30,2
0,3,0,0,0,0.2,2,2,sigmoid,True,True,nonlinear,30,2
1,3,0,0,0,0.2,2,4,sigmoid,True,True,nonlinear,30,2
2,3,0,0,0,0.2,2,6,sigmoid,True,True,nonlinear,30,2
3,3,0,0,0,0.5,2,2,sigmoid,True,True,nonlinear,30,2
4,3,0,0,0,0.5,2,4,sigmoid,True,True,nonlinear,30,2
5,3,0,0,0,0.5,2,6,sigmoid,True,True,nonlinear,30,2
6,3,0,0,0,0.8,2,2,sigmoid,True,True,nonlinear,30,2
7,3,0,0,0,0.8,2,4,sigmoid,True,True,nonlinear,30,2
8,3,0,0,0,0.8,2,6,sigmoid,True,True,nonlinear,30,2
9,3,0,0,0,1.5,2,2,sigmoid,True,True,nonlinear,30,2
10,3,0,0,0,1.5,2,4,sigmoid,True,True,nonlinear,30,2
11,3,0,0,0,1.5,2,6,sigmoid,True,True,nonlinear,30,2
12,3,0,0,0,0.2,5,2,sigmoid,True,True,nonlinear,30,2
13,3,0,0,0,0.2,5,4,sigmoid,True,True,nonlinear,30,2
14,3,0,0,0,0.2,5,6,sigmoid,True,True,nonlinear,30,2
15,3,0,0,0,0.5,5,2,sigmoid,True,True,nonlinear,30,2
16,3,0,0,0,0.5,5,4,sigmoid,True,True,nonlinear,30,2
17,3,0,0,0,0.5,5,6,sigmoid,True,True,nonlinear,30,2
18,3,0,0,0,0.8,5,2,sigmoid,True,True,nonlinear,30,2
19,3,0,0,0,0.8,5,4,sigmoid,True,True,nonlinear,30,2
20,3,0,0,0,0.8,5,6,sigmoid,True,True,nonlinear,30,2
21,3,0,0,0,1.5,5,2,sigmoid,True,True,nonlinear,30,2
22,3,0,0,0,1.5,5,4,sigmoid,True,True,nonlinear,30,2
23,3,0,0,0,1.5,5,6,sigmoid,True,True,nonlinear,30,2
0,4,9.1132327673,0,0,0.2,2,2,sigmoid,True,True,nonlinear,30,2
1,4,7.1898191905,0,0,0.2,2,4,sigmoid,True,True,nonlinear,30,2
2,4,0,0,0,0.2,2,6,sigmoid,True,True,nonlinear,30,2
3,4,9.1132327673,0,0,0.5,2,2,sigmoid,True,True,nonlinear,30,2
4,4,7.1898191905,0,0,0.5,2,4,sigmoid,True,True,nonlinear,30,2
5,4,0,0,0,0.5,2,6,sigmoid,True,True,nonlinear,30,2
6,4,9.1132327673,0,0,0.8,2,2,sigmoid,True,True,nonlinear,30,2
7,4,7.1898191905,0,0,0.8,2,4,sigmoid,True,True,nonlinear,30,2
8,4,0,0,0,0.8,2,6,sigmoid,True,True,nonlinear,30,2
9,4,9.1132327673,0,0,1.5,2,2,sigmoid,True,True,nonlinear,30,2
10,4,7.1898191905,0,0,1.5,2,4,sigmoid,True,True,nonlinear,30,2
11,4,0,0,0,1.5,2,6,sigmoid,True,True,nonlinear,30,2
12,4,9.1132327673,0,0,0.2,5,2,sigmoid,True,True,nonlinear,30,2
13,4,7.1898191905,0,0,0.2,5,4,sigmoid,True,True,nonlinear,30,2
14,4,0,0,0,0.2,5,6,sigmoid,True,True,nonlinear,30,2
15,4,9.1132327673,0,0,0.5,5,2,sigmoid,True,True,nonlinear,30,2
16,4,7.1898191905,0,0,0.5,5,4,sigmoid,True,True,nonlinear,30,2
17,4,0,0,0,0.5,5,6,sigmoid,True,True,nonlinear,30,2
18,4,9.1132327673,0,0,0.8,5,2,sigmoid,True,True,nonlinear,30,2
19,4,7.1898191905,0,0,0.8,5,4,sigmoid,True,True,nonlinear,30,2
20,4,0,0,0,0.8,5,6,sigmoid,True,True,nonlinear,30,2
21,4,9.1132327673,0,0,1.5,5,2,sigmoid,True,True,nonlinear,30,2
22,4,7.1898191905,0,0,1.5,5,4,sigmoid,True,True,nonlinear,30,2
23,4,0,0,0,1.5,5,6,sigmoid,True,True,nonlinear,30,2
0,5,95.1420159335,0,0,0.2,2,2,sigmoid,True,True,nonlinear,30,2
1,5,0,0,0,0.2,2,4,sigmoid,True,True,nonlinear,30,2
2,5,0,0,0,0.2,2,6,sigmoid,True,True,nonlinear,30,2
3,5,95.1420159335,0,0,0.5,2,2,sigmoid,True,True,nonlinear,30,2
4,5,0,0,0,0.5,2,4,sigmoid,True,True,nonlinear,30,2
5,5,0,0,0,0.5,2,6,sigmoid,True,True,nonlinear,30,2
6,5,95.1420159335,0,0,0.8,2,2,sigmoid,True,True,nonlinear,30,2
7,5,0,0,0,0.8,2,4,sigmoid,True,True,nonlinear,30,2
8,5,0,0,0,0.8,2,6,sigmoid,True,True,nonlinear,30,2
9,5,95.1420159335,0,0,1.5,2,2,sigmoid,True,True,nonlinear,30,2
10,5,0,0,0,1.5,2,4,sigmoid,True,True,nonlinear,30,2
11,5,0,0,0,1.5,2,6,sigmoid,True,True,nonlinear,30,2
12,5,95.1420159335,0,0,0.2,5,2,sigmoid,True,True,nonlinear,30,2
13,5,0,0,0,0.2,5,4,sigmoid,True,True,nonlinear,30,2
14,5,0,0,0,0.2,5,6,sigmoid,True,True,nonlinear,30,2
15,5,95.1420159335,0,0,0.5,5,2,sigmoid,True,True,nonlinear,30,2
16,5,0,0,0,0.5,5,4,sigmoid,True,True,nonlinear,30,2
17,5,0,0,0,0.5,5,6,sigmoid,True,True,nonlinear,30,2
18,5,95.1420159335,0,0,0.8,5,2,sigmoid,True,True,nonlinear,30,2
19,5,0,0,0,0.8,5,4,sigmoid,True,True,nonlinear,30,2
20,5,0,0,0,0.8,5,6,sigmoid,True,True,nonlinear,30,2
21,5,95.1420159335,0,0,1.5,5,2,sigmoid,True,True,nonlinear,30,2
22,5,0,0,0,1.5,5,4,sigmoid,True,True,nonlinear,30,2
23,5,0,0,0,1.5,5,6,sigmoid,True,True,nonlinear,30,2
0,8,14.8170705886,0,0,0.2,2,2,sigmoid,True,True,nonlinear,30,2
1,8,12.7805265065,0,0,0.2,2,4,sigmoid,True,True,nonlinear,30,2
2,8,13.3466077303,0,0,0.2,2,6,sigmoid,True,True,nonlinear,30,2
3,8,14.8170705886,0,0,0.5,2,2,sigmoid,True,True,nonlinear,30,2
4,8,12.7805265065,0,0,0.5,2,4,sigmoid,True,True,nonlinear,30,2
5,8,13.3466077303,0,0,0.5,2,6,sigmoid,True,True,nonlinear,30,2
6,8,14.8170705886,0,0,0.8,2,2,sigmoid,True,True,nonlinear,30,2
7,8,12.7805265065,0,0,0.8,2,4,sigmoid,True,True,nonlinear,30,2
8,8,13.3466077303,0,0,0.8,2,6,sigmoid,True,True,nonlinear,30,2
9,8,14.8170705886,0,0,1.5,2,2,sigmoid,True,True,nonlinear,30,2
10,8,12.7805265065,0,0,1.5,2,4,sigmoid,True,True,nonlinear,30,2
11,8,13.3466077303,0,0,1.5,2,6,sigmoid,True,True,nonlinear,30,2
12,8,14.8170705886,0,0,0.2,5,2,sigmoid,True,True,nonlinear,30,2
13,8,12.7805265065,0,0,0.2,5,4,sigmoid,True,True,nonlinear,30,2
14,8,13.3466077303,0,0,0.2,5,6,sigmoid,True,True,nonlinear,30,2
15,8,14.8170705886,0,0,0.5,5,2,sigmoid,True,True,nonlinear,30,2
16,8,12.7805265065,0,0,0.5,5,4,sigmoid,True,True,nonlinear,30,2
17,8,13.3466077303,0,0,0.5,5,6,sigmoid,True,True,nonlinear,30,2
18,8,14.8170705886,0,0,0.8,5,2,sigmoid,True,True,nonlinear,30,2
19,8,12.7805265065,0,0,0.8,5,4,sigmoid,True,True,nonlinear,30,2
20,8,13.3466077303,0,0,0.8,5,6,sigmoid,True,True,nonlinear,30,2
21,8,14.8170705886,0,0,1.5,5,2,sigmoid,True,True,nonlinear,30,2
22,8,12.7805265065,0,0,1.5,5,4,sigmoid,True,True,nonlinear,30,2
23,8,13.3466077303,0,0,1.5,5,6,sigmoid,True,True,nonlinear,30,2
0,2050,0,0,0,0.2,2,2,sigmoid,True,True,nonlinear,30,2
1,2050,0,0,0,0.2,2,4,sigmoid,True,True,nonlinear,30,2
2,2050,0,0,0,0.2,2,6,sigmoid,True,True,nonlinear,30,2
3,2050,0,0,0,0.5,2,2,sigmoid,True,True,nonlinear,30,2
4,2050,0,0,0,0.5,2,4,sigmoid,True,True,nonlinear,30,2
5,2050,0,0,0,0.5,2,6,sigmoid,True,True,nonlinear,30,2
6,2050,0,0,0,0.8,2,2,sigmoid,True,True,nonlinear,30,2
7,2050,0,0,0,0.8,2,4,sigmoid,True,True,nonlinear,30,2
8,2050,0,0,0,0.8,2,6,sigmoid,True,True,nonlinear,30,2
9,2050,0,0,0,1.5,2,2,sigmoid,True,True,nonlinear,30,2
10,2050,0,0,0,1.5,2,4,sigmoid,True,True,nonlinear,30,2
11,2050,0,0,0,1.5,2,6,sigmoid,True,True,nonlinear,30,2
12,2050,0,0,0,0.2,5,2,sigmoid,True,True,nonlinear,30,2
13,2050,0,0,0,0.2,5,4,sigmoid,True,True,nonlinear,30,2
14,2050,0,0,0,0.2,5,6,sigmoid,True,True,nonlinear,30,2
15,2050,0,0,0,0.5,5,2,sigmoid,True,True,nonlinear,30,2
16,2050,0,0,0,0.5,5,4,sigmoid,True,True,nonlinear,30,2
17,2050,0,0,0,0.5,5,6,sigmoid,True,True,nonlinear,30,2
18,2050,0,0,0,0.8,5,2,sigmoid,True,True,nonlinear,30,2
19,2050,0,0,0,0.8,5,4,sigmoid,True,True,nonlinear,30,2
20,2050,0,0,0,0.8,5,6,sigmoid,True,True,nonlinear,30,2
21,2050,0,0,0,1.5,5,2,sigmoid,True,True,nonlinear,30,2
22,2050,0,0,0,1.5,5,4,sigmoid,True,True,nonlinear,30,2
23,2050,0,0,0,1.5,5,6,sigmoid,True,True,nonlinear,30,2
0,14,29.4272249966,0,0,0.2,2,2,sigmoid,True,True,nonlinear,30,2
1,14,0,0,0,0.2,2,4,sigmoid,True,True,nonlinear,30,2
2,14,0,0,0,0.2,2,6,sigmoid,True,True,nonlinear,30,2
3,14,29.4272249966,0,0,0.5,2,2,sigmoid,True,True,nonlinear,30,2
4,14,0,0,0,0.5,2,4,sigmoid,True,True,nonlinear,30,2
5,14,0,0,0,0.5,2,6,sigmoid,True,True,nonlinear,30,2
6,14,29.4272249966,0,0,0.8,2,2,sigmoid,True,True,nonlinear,30,2
7,14,0,0,0,0.8,2,4,sigmoid,True,True,nonlinear,30,2
8,14,0,0,0,0.8,2,6,sigmoid,True,True,nonlinear,30,2
9,14,29.4272249966,0,0,1.5,2,2,sigmoid,True,True,nonlinear,30,2
10,14,0,0,0,1.5,2,4,sigmoid,True,True,nonlinear,30,2
11,14,0,0,0,1.5,2,6,sigmoid,True,True,nonlinear,30,2
12,14,29.4272249966,0,0,0.2,5,2,sigmoid,True,True,nonlinear,30,2
13,14,0,0,0,0.2,5,4,sigmoid,True,True,nonlinear,30,2
14,14,0,0,0,0.2,5,6,sigmoid,True,True,nonlinear,30,2
15,14,29.4272249966,0,0,0.5,5,2,sigmoid,True,True,nonlinear,30,2
16,14,0,0,0,0.5,5,4,sigmoid,True,True,nonlinear,30,2
17,14,0,0,0,0.5,5,6,sigmoid,True,True,nonlinear,30,2
18,14,29.4272249966,0,0,0.8,5,2,sigmoid,True,True,nonlinear,30,2
19,14,0,0,0,0.8,5,4,sigmoid,True,True,nonlinear,30,2
20,14,0,0,0,0.8,5,6,sigmoid,True,True,nonlinear,30,2
