,Category,M+,M-,M-D,MD,MH,MN,TimeFunction,QtyGrid,PriceGrid,QtyPriceFunction,DayGrid,SubsFactor
0,2.0,0.0,0.0,0.0,0.2,2,2,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
1,2.0,0.0,0.0,0.0,0.2,2,4,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
2,2.0,0.0,0.0,0.0,0.2,2,6,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
3,2.0,0.0,0.0,0.0,0.5,2,2,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
4,2.0,0.0,0.0,0.0,0.5,2,4,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
5,2.0,0.0,0.0,0.0,0.5,2,6,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
6,2.0,0.0,0.0,0.0,0.8,2,2,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
7,2.0,0.0,0.0,0.0,0.8,2,4,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
8,2.0,0.0,0.0,0.0,0.8,2,6,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
9,2.0,0.0,0.0,0.0,1.5,2,2,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
10,2.0,0.0,0.0,0.0,1.5,2,4,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
11,2.0,0.0,0.0,0.0,1.5,2,6,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
12,2.0,0.0,0.0,0.0,0.2,5,2,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
13,2.0,0.0,0.0,0.0,0.2,5,4,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
14,2.0,0.0,0.0,0.0,0.2,5,6,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
15,2.0,0.0,0.0,0.0,0.5,5,2,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
16,2.0,0.0,0.0,0.0,0.5,5,4,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
17,2.0,0.0,0.0,0.0,0.5,5,6,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
18,2.0,0.0,0.0,0.0,0.8,5,2,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
19,2.0,0.0,0.0,0.0,0.8,5,4,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
20,2.0,0.0,0.0,0.0,0.8,5,6,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
21,2.0,0.0,0.0,0.0,1.5,5,2,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
22,2.0,0.0,0.0,0.0,1.5,5,4,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
23,2.0,0.0,0.0,0.0,1.5,5,6,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
0,3.0,0.0,0.0,0.0,0.2,2,2,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
1,3.0,0.0,0.0,0.0,0.2,2,4,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
2,3.0,0.0,0.0,0.0,0.2,2,6,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
3,3.0,0.0,0.0,0.0,0.5,2,2,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
4,3.0,0.0,0.0,0.0,0.5,2,4,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
5,3.0,0.0,0.0,0.0,0.5,2,6,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
6,3.0,0.0,0.0,0.0,0.8,2,2,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
7,3.0,0.0,0.0,0.0,0.8,2,4,sigmoid,True,False,nonlinear,NotUseDaysFactor,2.0
