,Category,DayGrid,M+,M-,M-D,MD,MH,MN,PriceGrid,QtyGrid,QtyPriceFunction,SubsFactor,TimeFunction,Unnamed: 0
0,-1,30,0,0,0,0.2,2,2,0,0,nonlinear,1.1,sigmoid,0
638,-1,NotUseDaysFactor,0,0,0,0.2,2,2,0,0,nonlinear,1.1,sigmoid,0
1276,-1,30,0,0,0,0.2,2,2,0,0,nonlinear,2,sigmoid,0
1914,-1,NotUseDaysFactor,0,0,0,0.2,2,2,0,0,nonlinear,2,sigmoid,0
2552,-1,30,0,0,0,0.2,2,2,1,0,nonlinear,1.1,sigmoid,0
3190,-1,NotUseDaysFactor,0,0,0,0.2,2,2,1,0,nonlinear,1.1,sigmoid,0
3828,-1,30,0,0,0,0.2,2,2,1,0,nonlinear,2,sigmoid,0
4466,-1,NotUseDaysFactor,0,0,0,0.2,2,2,1,0,nonlinear,2,sigmoid,0
5104,-1,30,0,0,0,0.2,2,2,0,1,nonlinear,1.1,sigmoid,0
5742,-1,NotUseDaysFactor,0,0,0,0.2,2,2,0,1,nonlinear,1.1,sigmoid,0
6380,-1,30,0,0,0,0.2,2,2,0,1,nonlinear,2,sigmoid,0
7018,-1,NotUseDaysFactor,0,0,0,0.2,2,2,0,1,nonlinear,2,sigmoid,0
7656,-1,30,0,0,0,0.2,2,2,1,1,nonlinear,1.1,sigmoid,0
8294,-1,NotUseDaysFactor,0,0,0,0.2,2,2,1,1,nonlinear,1.1,sigmoid,0
8932,-1,30,0,0,0,0.2,2,2,1,1,nonlinear,2,sigmoid,0
9570,-1,NotUseDaysFactor,0,0,0,0.2,2,2,1,1,nonlinear,2,sigmoid,0
1,2,30,0,0,0,0.2,2,2,0,0,nonlinear,1.1,sigmoid,0
639,2,NotUseDaysFactor,0,0,0,0.2,2,2,0,0,nonlinear,1.1,sigmoid,0
1277,2,30,0,0,0,0.2,2,2,0,0,nonlinear,2,sigmoid,0
1915,2,NotUseDaysFactor,0,0,0,0.2,2,2,0,0,nonlinear,2,sigmoid,0
2553,2,30,0,0,0,0.2,2,2,1,0,nonlinear,1.1,sigmoid,0
3191,2,NotUseDaysFactor,0,0,0,0.2,2,2,1,0,nonlinear,1.1,sigmoid,0
3829,2,30,0,0,0,0.2,2,2,1,0,nonlinear,2,sigmoid,0
4467,2,NotUseDaysFactor,0,0,0,0.2,2,2,1,0,nonlinear,2,sigmoid,0
5105,2,30,0,0,0,0.2,2,2,0,1,nonlinear,1.1,sigmoid,0
5743,2,NotUseDaysFactor,0,0,0,0.2,2,2,0,1,nonlinear,1.1,sigmoid,0
6381,2,30,0,0,0,0.2,2,2,0,1,nonlinear,2,sigmoid,0
7019,2,NotUseDaysFactor,0,0,0,0.2,2,2,0,1,nonlinear,2,sigmoid,0
7657,2,30,0,0,0,0.2,2,2,1,1,nonlinear,1.1,sigmoid,0
8295,2,NotUseDaysFactor,0,0,0,0.2,2,2,1,1,nonlinear,1.1,sigmoid,0
8933,2,30,0,0,0,0.2,2,2,1,1,nonlinear,2,sigmoid,0
9571,2,NotUseDaysFactor,0,0,0,0.2,2,2,1,1,nonlinear,2,sigmoid,0
2,3,30,0,0,0,0.2,2,2,0,0,nonlinear,1.1,sigmoid,0
640,3,NotUseDaysFactor,0,0,0,0.2,2,2,0,0,nonlinear,1.1,sigmoid,0
1278,3,30,0,0,0,0.2,2,2,0,0,nonlinear,2,sigmoid,0
1916,3,NotUseDaysFactor,0,0,0,0.2,2,2,0,0,nonlinear,2,sigmoid,0
2554,3,30,0,0,0,0.2,2,2,1,0,nonlinear,1.1,sigmoid,0
3192,3,NotUseDaysFactor,0,0,0,0.2,2,2,1,0,nonlinear,1.1,sigmoid,0
3830,3,30,0,0,0,0.2,2,2,1,0,nonlinear,2,sigmoid,0
4468,3,NotUseDaysFactor,0,0,0,0.2,2,2,1,0,nonlinear,2,sigmoid,0
5106,3,30,0,0,0,0.2,2,2,0,1,nonlinear,1.1,sigmoid,0
5744,3,NotUseDaysFactor,0,0,0,0.2,2,2,0,1,nonlinear,1.1,sigmoid,0
6382,3,30,0,0,0,0.2,2,2,0,1,nonlinear,2,sigmoid,0
7020,3,NotUseDaysFactor,0,0,0,0.2,2,2,0,1,nonlinear,2,sigmoid,0
7658,3,30,0,0,0,0.2,2,2,1,1,nonlinear,1.1,sigmoid,0
8296,3,NotUseDaysFactor,0,0,0,0.2,2,2,1,1,nonlinear,1.1,sigmoid,0
8934,3,30,0,0,0,0.2,2,2,1,1,nonlinear,2,sigmoid,0
9572,3,NotUseDaysFactor,0,0,0,0.2,2,2,1,1,nonlinear,2,sigmoid,0
3,4,30,0.71875,0,0,1.5,2,2,0,0,nonlinear,1.1,sigmoid,9
641,4,NotUseDaysFactor,0.71875,0,0,1.5,2,2,0,0,nonlinear,1.1,sigmoid,9
1279,4,30,0.7410714286,0,0,1.5,2,2,0,0,nonlinear,2,sigmoid,9
1917,4,NotUseDaysFactor,0.7410714286,0,0,1.5,2,2,0,0,nonlinear,2,sigmoid,9
2555,4,30,2.4099689104,0,0,0.5,2,2,1,0,nonlinear,1.1,sigmoid,3
3193,4,NotUseDaysFactor,2.4099689104,0,0,0.5,2,2,1,0,nonlinear,1.1,sigmoid,3
3831,4,30,2.3439401814,0,0,0.5,2,2,1,0,nonlinear,2,sigmoid,3
4469,4,NotUseDaysFactor,2.3439401814,0,0,0.5,2,2,1,0,nonlinear,2,sigmoid,3
5107,4,30,4.125,0,0,0.2,2,2,0,1,nonlinear,1.1,sigmoid,0
5745,4,NotUseDaysFactor,4.125,0,0,0.2,2,2,0,1,nonlinear,1.1,sigmoid,0
6383,4,30,5.0770348837,0,0,0.2,2,2,0,1,nonlinear,2,sigmoid,0
7021,4,NotUseDaysFactor,5.0770348837,0,0,0.2,2,2,0,1,nonlinear,2,sigmoid,0
7659,4,30,8.7852538794,0,0,0.2,2,2,1,1,nonlinear,1.1,sigmoid,0
8297,4,NotUseDaysFactor,8.7852538794,0,0,0.2,2,2,1,1,nonlinear,1.1,sigmoid,0
8935,4,30,9.1132327673,0,0,0.2,2,2,1,1,nonlinear,2,sigmoid,0
9573,4,NotUseDaysFactor,9.1132327673,0,0,0.2,2,2,1,1,nonlinear,2,sigmoid,0
4,5,30,0.75,0,0,1.5,2,2,0,0,nonlinear,1.1,sigmoid,9
642,5,NotUseDaysFactor,0.75,0,0,1.5,2,2,0,0,nonlinear,1.1,sigmoid,9
1280,5,30,1,0,0,1.5,2,2,0,0,nonlinear,2,sigmoid,9
1918,5,NotUseDaysFactor,1,0,0,1.5,2,2,0,0,nonlinear,2,sigmoid,9
