,category,maxQuantityGraph,maxPriceGraph,maxQuantity,maxPrice
0,2278.0,2.0,590000.0,2.0,590000.0
1,2.0,3.0,17800000.0,3.0,17800000.0
2,3.0,4.0,6850000.0,4.0,6850000.0
3,4.0,12.0,1469500.0,12.0,1469500.0
4,5.0,1.0,604500.0,1.0,604500.0
5,8.0,10.0,6950000.0,10.0,6950000.0
6,1638.0,1.0,57000.0,1.0,57000.0
7,1578.0,1.0,65000.0,1.0,65000.0
8,425.0,4.0,180000.0,4.0,180000.0
9,2050.0,2.0,300000.0,2.0,300000.0
10,14.0,3.0,404100.0,3.0,404100.0
11,15.0,2.0,3350000.0,2.0,3350000.0
12,16.0,1.0,100000.0,1.0,100000.0
13,17.0,10.0,5620000.0,10.0,5620000.0
14,2068.0,1.0,45000.0,1.0,45000.0
15,401.0,20.0,650000.0,20.0,650000.0
16,163.0,5.0,200000.0,5.0,200000.0
17,2077.0,1.0,200000.0,1.0,200000.0
18,2053.0,1.0,210000.0,1.0,210000.0
19,2080.0,1.0,88000.0,1.0,88000.0
20,2083.0,1.0,280000.0,1.0,280000.0
21,2086.0,1.0,90000.0,1.0,90000.0
22,296.0,6.0,270000.0,6.0,270000.0
23,314.0,1.0,65000.0,1.0,65000.0
24,2092.0,2.0,260000.0,2.0,260000.0
25,214.0,2.0,145000.0,2.0,145000.0
26,1912.0,1.0,15000.0,1.0,15000.0
27,2095.0,1.0,129000.0,1.0,129000.0
28,2056.0,2.0,495000.0,2.0,495000.0
29,2098.0,1.0,189200.0,1.0,189200.0
30,409.0,10.0,1185000.0,10.0,1185000.0
31,350.0,1.0,350000.0,1.0,350000.0
32,1540.0,500.0,750000.0,500.0,750000.0
33,423.0,1.0,290000.0,1.0,290000.0
34,59.0,1.0,100000.0,1.0,100000.0
35,663.0,2.0,105000.0,2.0,105000.0
36,1666.0,5.0,325000.0,5.0,325000.0
37,2110.0,1.0,2500000.0,1.0,2500000.0
38,1042.0,8.0,162900.0,8.0,162900.0
39,2113.0,1.0,80000.0,1.0,80000.0
40,66.0,10.0,175000.0,10.0,175000.0
41,67.0,13.0,850000.0,13.0,850000.0
42,68.0,1.0,89000.0,1.0,89000.0
43,1954.0,2.0,35000.0,2.0,35000.0
44,70.0,20.0,324000.0,20.0,324000.0
45,2119.0,1.0,50000.0,1.0,50000.0
46,177.0,13.0,442000.0,13.0,442000.0
47,911.0,2.0,40000.0,2.0,40000.0
48,1879.0,2.0,70000.0,2.0,70000.0
49,2317.0,100.0,650000.0,100.0,650000.0
50,2128.0,5.0,1250000.0,5.0,1250000.0
51,1590.0,1.0,60000.0,1.0,60000.0
52,2131.0,1.0,96000.0,1.0,96000.0
53,2062.0,1.0,50000.0,1.0,50000.0
54,2134.0,1.0,120000.0,1.0,120000.0
55,2404.0,1.0,65000.0,1.0,65000.0
56,2140.0,1.0,432100.0,1.0,432100.0
57,171.0,2.0,15760500.0,2.0,15760500.0
58,2143.0,1.0,150000.0,1.0,150000.0
59,2633.0,1.0,18000.0,1.0,18000.0
60,97.0,3.0,765000.0,3.0,765000.0
61,1723.0,1.0,149000.0,1.0,149000.0
62,2107.0,25.0,45000.0,25.0,45000.0
63,2149.0,2.0,530000.0,2.0,530000.0
64,298.0,10.0,1200000.0,10.0,1200000.0
65,2065.0,1.0,480000.0,1.0,480000.0
66,2152.0,2.0,650000.0,2.0,650000.0
67,1390.0,2.0,14000.0,2.0,14000.0
68,1924.0,1.0,245000.0,1.0,245000.0
69,1557.0,5.0,170000.0,5.0,170000.0
