transaction_id,buyer_id,seller_id,paid_at,courier,state,reason,stuff_category_id,stuff_id,stuff_price,quantity,stuff_name
416644376,3088618,2685835,2017-05-08 19:48:59,JNE REG,remitted,,172.0,335896046,65000,2,KACAMATA GAYA PRIA & WANITA CA122 LENSA PELANGI
416644391,3088618,3278851,2017-05-08 19:48:59,JNE REG,remitted,,172.0,28122293,17500,4,KACAMATA RB SPACE PELANGI MODEL SKY X
416809551,10781829,2874085,2017-05-08 19:52:04,JNE REG,remitted,,435.0,52944943,154000,1,Helm Real Madrid Putih
416816186,36437236,766941,2017-05-08 19:55:03,J&T REG,remitted,,183.0,32342202,200000,1,TRI GM (Get More) 2GB
416816186,36437236,766941,2017-05-08 19:55:03,J&T REG,remitted,,183.0,113977507,147500,1,Kartu Perdana Tri AON 1GB+10rb
416816191,36437241,6579157,2017-05-08 19:55:03,Wahana Tarif Normal,remitted,,938.0,51112868,10500,1,celana short/legging pendek/daleman
416819166,36437621,1781519,2017-05-08 20:00:03,JNE YES,remitted,,2368.0,42815605,350000,8,Propolis Super proCETIN
416819171,36437626,766941,2017-05-08 20:00:03,J&T REG,remitted,,183.0,32342202,200000,1,TRI GM (Get More) 2GB
416819171,36437626,766941,2017-05-08 20:00:03,J&T REG,remitted,,183.0,113977507,147500,1,Kartu Perdana Tri AON 1GB+10rb
416819176,36437631,3162166,2017-05-08 20:00:04,JNE REG,remitted,,2335.0,14630497,3500000,2,Parfum Singapur Jaguar Jaguar
416819176,36437631,3162166,2017-05-08 20:00:04,JNE REG,remitted,,2338.0,14630290,3240000,1,Parfum Singapur Jeniffer Lopez Still
416819181,36437636,11120748,2017-05-08 20:00:04,JNE REG,remitted,,435.0,65052540,540000,2,KYT RRX Modular
416819186,36437641,1781519,2017-05-08 20:00:04,JNE YES,remitted,,2371.0,50677673,450000,6,GRAVIOLA 100% concentrate daun sirsak
416819201,36437651,1781519,2017-05-08 20:00:05,JNE YES,remitted,,2371.0,50677673,450000,3,GRAVIOLA 100% concentrate daun sirsak
416819206,36437656,12255432,2017-05-08 20:00:05,J&T REG,remitted,,435.0,118395640,92500,1,Kaca helm KYT RRX ORI
416819211,36437661,251134,2017-05-08 20:00:06,Pos Express Next Day Service,remitted,,2365.0,121497835,251000,1,Avail Pantyliner (1 ball isi 10 bungkus)
416819216,36437666,251134,2017-05-08 20:00:07,Pos Express Next Day Service,remitted,,2365.0,121497835,251000,1,Avail Pantyliner (1 ball isi 10 bungkus)
416819226,36437671,251134,2017-05-08 20:00:08,Pos Express Next Day Service,remitted,,2365.0,121497835,251000,1,Avail Pantyliner (1 ball isi 10 bungkus)
416819236,36437676,251134,2017-05-08 20:00:08,Pos Express Next Day Service,remitted,,2365.0,121497835,251000,1,Avail Pantyliner (1 ball isi 10 bungkus)
416821941,36437976,251134,2017-05-08 20:05:03,Pos Express Next Day Service,remitted,,2365.0,121497835,251000,1,Avail Pantyliner (1 ball isi 10 bungkus)
416821946,36437981,251134,2017-05-08 20:05:04,Pos Express Next Day Service,remitted,,2365.0,121497835,251000,1,Avail Pantyliner (1 ball isi 10 bungkus)
416779941,25542644,1916202,2017-05-08 20:05:17,JNE REG,remitted,,338.0,55372390,80000,1,spiderman black action figure
416820166,7727427,2486470,2017-05-08 20:06:46,Pos Kilat Khusus,remitted,,561.0,84857023,42500,1,"kain batik fashion, full p**da BG"
416822146,541317,3499057,2017-05-08 20:06:48,JNE REG,remitted,,326.0,15815896,105000,1,"Best Product, Xaba Gaiter / Gaither pelindung kaki for hiking, outdoor."
416812496,11910228,5661661,2017-05-08 20:07:05,JNE REG,remitted,,541.0,277783694,18000,1,Obeng T Siyota Bolak Balik Flexible
416808716,8755132,11031645,2017-05-08 20:07:12,JNE REG,remitted,,301.0,455705150,37600,1,boxer premium motif ninja kuning bahan katun adem
416808716,8755132,11031645,2017-05-08 20:07:12,JNE REG,remitted,,301.0,333800456,37600,1,Boxer Keren Motiframbut Brindil Kuning Adem nyaman GROSIR
416808716,8755132,11031645,2017-05-08 20:07:12,JNE REG,remitted,,301.0,308352746,37600,1,celana Boxer Keren Motif Frank Merah Maron Adem Berkualitas GROSIR
416808716,8755132,11031645,2017-05-08 20:07:12,JNE REG,remitted,,301.0,298382996,37600,1,Celana Boxer Keren Motif playboy putih merah adem
416808716,8755132,11031645,2017-05-08 20:07:12,JNE REG,remitted,,301.0,459637792,37600,1,boxer premium motif ninja hitam bahan katun adem
416820426,12280614,10340103,2017-05-08 20:09:08,JNE REG,remitted,,1041.0,331214417,285000,1,Phillip Rocke Grand Reserve US Premium Liquid Rokok Elektrik
416664431,21627557,5557387,2017-05-08 20:10:13,Pos Kilat Khusus,remitted,,2347.0,23522017,135000,1,OBAT PELANGSING BADAN WSC BIOLO WORLD SLIMMING CAPSULE ASLI ORIGINAL Depkes
416760911,6839262,6126307,2017-05-08 20:12:20,JNE REG,remitted,,427.0,146299715,165000,1,KUNCI KONTAK ASSY VEGA R OLD /F1ZR ORI YAMAHA
416822351,96305,6908994,2017-05-08 20:14:37,JNE YES,remitted,,1540.0,76980375,95000,2,Digital Programmable Timer Switch Auto On/Off Max 220V 16A
416826876,36438546,251134,2017-05-08 20:15:03,Pos Express Next Day Service,remitted,,2365.0,121497835,251000,1,Avail Pantyliner (1 ball isi 10 bungkus)
416826881,36438551,3162166,2017-05-08 20:15:03,JNE REG,remitted,,2335.0,32279700,4000000,1,Parfum Singapur Lacoste L.12.12 Green
416826881,36438551,3162166,2017-05-08 20:15:03,JNE REG,remitted,,2335.0,19858009,2600000,1,Parfum Singapur Dunhill Desire Blue
416826886,36438556,1772968,2017-05-08 20:15:03,JNE REG,remitted,,2314.0,180503239,15000,1,Munafie Slimming Pants Original - Celana Pelangsing Slim Pant Munafi
416826891,36438566,1769314,2017-05-08 20:15:03,JNE REG,remitted,,176.0,49948639,95000,1,BATRE EVERCOSS AT1C
416826906,36438561,251134,2017-05-08 20:15:03,Pos Express Next Day Service,remitted,,2365.0,121497835,251000,1,Avail Pantyliner (1 ball isi 10 bungkus)
416826911,36438571,251134,2017-05-08 20:15:04,Pos Express Next Day Service,remitted,,2365.0,121497835,251000,1,Avail Pantyliner (1 ball isi 10 bungkus)
